Transcript,Date,Position,Person,Party,Text,Subject
DAR-001,17 DE SETEMBRO DE 2020,0,Presidente,,"Dirijo um abraço a todos neste regresso dos Plenários à Casa da democracia. Esperávamos que nesta altura já pudéssemos ter regras mais flexíveis, mas, infelizmente, os números e as consequências concretas não nos permitem tal, e, portanto, continuamos, no essencial, com as regras que presidiram aos últimos Plenários da 1.ª Sessão Legislativa. Srs. Deputados, da nossa ordem do dia constam declarações políticas. Porém, antes disso, a Sr.ª Secretária Maria da Luz Rosinha fará o favor de anunciar a entrada de algumas iniciativas. Tem a palavra, Sr.ª Secretária.",Abertura
DAR-001,17 DE SETEMBRO DE 2020,1,Secretária,Maria da Luz Rosinha,"Sr. Presidente, muito boa tarde a todas e a todos. Deram entrada na Mesa, e foram admitidos, os Projetos de Lei n.os 485/XIV/1.ª (BE), 486/XIV/1.ª (PCP), 487/XIV/1.ª (PAN), 488/XIV/1.ª (PCP), 489/XIV/1.ª (CDS-PP), 490/XIV/1.ª (CDS-PP), 491/XIV/1.ª (PAN), 492/XIV/1.ª (PCP), 493/XIV/1.ª (PAN), 494/XIV/1.ª (Deputada não inscrita Cristina Rodrigues), 495/XIV/1.ª (BE), 496/XIV/1.ª (Deputada não inscrita Cristina Rodrigues), 497/XIV/1.ª (PAN), 498/XIV/1.ª (PAN)…",Abertura
DAR-001,17 DE SETEMBRO DE 2020,2,Presidente,,"Como os Srs. Deputados estão a verificar, o anúncio do expediente já segue as regras do novo Regimento, aprovado por VV. Ex.as numa das últimas reuniões plenárias da 1.ª Sessão Legislativa. Faça favor de prosseguir, Sr.ª Secretária.",Abertura
DAR-001,17 DE SETEMBRO DE 2020,3,Secretária,Maria da Luz Rosinha,"Sr. Presidente, deram também entrada os Projetos de Lei n.os 499/XIV/1.ª (IL), 500/XIV/1.ª (BE), 501/XIV/1.ª (BE), 502/XIV/1.ª (Deputada não inscrita Cristina Rodrigues), 503/XIV/1.ª (PCP), 504/XIV/1.ª (BE) e 505/XIV/1.ª (PSD). Deram ainda entrada na Mesa, e foram admitidos, os Projetos de Resolução n.os 612/XIV/1.ª (BE), 613/XIV/1.ª (PCP), 614/XIV/1.ª (PCP), 615/XIV/1.ª (PCP), 616/XIV/1.ª (PCP), 617/XIV/1.ª (PCP), 619/XIV/1.ª (CH), 620/XIV/1.ª (CH), 621/XIV/1.ª (Deputada não inscrita Joacine Katar Moreira), 622/XIV/1.ª (PAN), 623/XIV/1.ª (PAN), 624/XIV/1.ª (PCP) e 626/XIV/1.ª (IL). Por fim, deu entrada, e foi admitido, o Inquérito Paramentar n.º 6/XIV/1.ª (IL). É tudo, Sr. Presidente.",Abertura
DAR-001,17 DE SETEMBRO DE 2020,4,Presidente,,"Muito obrigado, Sr.ª Secretária Maria da Luz Rosinha. Estamos, pois, em condições de iniciar o primeiro ponto da nossa agenda, que consiste em declarações políticas. A primeira declaração política cabe ao Grupo Parlamentar do PS. Antes de dar a palavra ao Sr. Deputado Luís Moreira Testa, relembro que as regras de funcionamento do Plenário continuam a ser as mesmas que estavam em vigor antes das férias — infelizmente, mas é esta a realidade. Faça favor, Sr. Deputado.",Abertura
DAR-001,17 DE SETEMBRO DE 2020,5,Luís Moreira Testa,PS,"Sr. Presidente, Srs. Deputados: Portugal, País de vocação atlântica, sempre atirou o seu olhar para os mundos do desconhecido que a epopeia marítima encerrava, relegando territórios de prosperidade menos evidente e perigos relevantes de diversa ordem. Essa perspetiva histórica ajuda-nos, em parte, a compreender o País que somos hoje — ajuda-nos em parte e só em parte. É que em todo o século XX, e nos anos que já levamos deste século, os desequilíbrios têm vindo a acentuar-se sem que as políticas públicas tenham tido capacidade para reverter o estádio de assimetrias a que Portugal chegou e, pior, tal estádio, em muitos casos, senão em todos, agravou-se. Hoje temos uma responsabilidade não só pelos tempos que vivemos, mas, sobretudo, pelos desafios que temos pela frente. Quando fazemos uma leitura mais fina e percebemos que as conjunturas determinam fortemente os resultados em todas as dimensões e percebemos que nos afetam mais do que a outros e quase sempre I SÉRIE — NÚMERO 1 negativamente, também podemos perceber que, se excecionarmos as variações conjunturais, rapidamente chegamos à conclusão de que a maior parte das variáveis que condicionam o comportamento de Portugal são de raiz estrutural e implicam, quase sempre, um comportamento negativo dos nossos padrões de desenvolvimento. Estrutura é território. Aliás, território é a maior das nossas estruturas e, se desequilibrado e não potenciado, conduz a uma realidade de perda de recursos que se traduz na incapacidade de desenvolvimento pleno. Nos últimos tempos, muito pela ação política, temos invertido a abordagem ao tema da gestão do território e colocado, com isso, uma parte substancial do País, a que chamamos «interior» — e que o é, de facto —, pela discrepância de níveis de competitividade, no centro das políticas. A criação do Ministério da Coesão e, na sua dependência, da Secretaria de Estado da Valorização do Interior tem permitido, desde o início da Legislatura, concertar ações e promover projetos de desenvolvimento integrado em todo o território, como há muito não se sentia, não se via e não se fazia.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,6,Ana Paula Vitorino,PS,Muito bem!,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,7,Luís Moreira Testa,PS,"Mas também não é de somenos importância que se tenha construído uma agenda que coloca, por sistema, o combate aos desequilíbrios estruturais do País como o tema de ação — não só porque isso beneficia apenas os territórios do interior, o que já não seria pouco, mas porque o desenvolvimento harmonioso contribui decisivamente para o desenvolvimento global de Portugal, porque aproveita recursos, aproveita capacidades, aproveita conhecimento. Nos últimos tempos, nos últimos meses e nas últimas semanas, temos percebido, finalmente, a relevância da centralidade de tal mudança de paradigma. Decorreu esta semana, em Lisboa, o Fórum Parlamentar Luso-Espanhol, que, sem prejuízo de outras temáticas, e mesmo com prejuízo de algumas, as relações transfronteiriças assumiram um papel na relação entre os dois Estados, com a dimensão extraordinária que é dada a territórios, como, por exemplo, o do concelho de Nisa, que, com a assunção da realização da ponte internacional que ligará ao município espanhol de Cedillo, a pouco mais de 100 m, dispensará uma viagem de mais de 100 km. Refiro também a apresentação do documento Visão Estratégica para o Plano de Recuperação Económica de Portugal 2020/2030, elaborado pelo Prof. António Costa Silva, que assenta a maior parte dessa recuperação no aproveitamento pleno dos nossos recursos, o que significa mobilizar os que nunca foram utilizados ou foram parcamente tidos em conta, desde logo os do interior do País. A cimeira ibérica que ocorrerá no dia 2 de outubro na Guarda, com as mesmas temáticas do Fórum Parlamentar, dará ainda uma expressão maior a esta necessidade, com os dois Governos, o de Portugal e o de Espanha, a concertarem políticas e investimentos para os territórios transfronteiriços que têm as mesmas carências e são, eles próprios, uma grande oportunidade para os dois países.",Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,8,Santinho Pacheco,PS,Muito bem!,Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,9,Luís Moreira Testa,PS,"A meio do mês de outubro, o Governo apresentará o Plano de Recuperação e Resiliência, documento que havemos de ter a oportunidade de debater e que, estamos certos, merecerá também consensos, mais do que desejáveis, imperativos, para que Portugal possa ser um País equilibrado, harmonioso e desenvolvido. Aplausos do PS. Estou certo de que este desígnio não é apenas meu ou do meu partido, estou certo de que este é um desígnio nacional e que todos, todos, sem exceção, somos imprescindíveis para o concretizar. O princípio da história já não pode ser alterado, mas podemos mudar o final e reinventar este Portugal. Aplausos do PS.",Declarações políticas
