Transcript,Date,Position,Person,Party,Text,Subject,key
DAR-001,17 DE SETEMBRO DE 2020,5.0,Luís Moreira Testa,PS,"Sr. Presidente, Srs. Deputados: Portugal, País de vocação atlântica, sempre atirou o seu olhar para os mundos do desconhecido que a epopeia marítima encerrava, relegando territórios de prosperidade menos evidente e perigos relevantes de diversa ordem. Essa perspetiva histórica ajuda-nos, em parte, a compreender o País que somos hoje — ajuda-nos em parte e só em parte. É que em todo o século XX, e nos anos que já levamos deste século, os desequilíbrios têm vindo a acentuar-se sem que as políticas públicas tenham tido capacidade para reverter o estádio de assimetrias a que Portugal chegou e, pior, tal estádio, em muitos casos, senão em todos, agravou-se. Hoje temos uma responsabilidade não só pelos tempos que vivemos, mas, sobretudo, pelos desafios que temos pela frente. Quando fazemos uma leitura mais fina e percebemos que as conjunturas determinam fortemente os resultados em todas as dimensões e percebemos que nos afetam mais do que a outros e quase sempre I SÉRIE — NÚMERO 1 negativamente, também podemos perceber que, se excecionarmos as variações conjunturais, rapidamente chegamos à conclusão de que a maior parte das variáveis que condicionam o comportamento de Portugal são de raiz estrutural e implicam, quase sempre, um comportamento negativo dos nossos padrões de desenvolvimento. Estrutura é território. Aliás, território é a maior das nossas estruturas e, se desequilibrado e não potenciado, conduz a uma realidade de perda de recursos que se traduz na incapacidade de desenvolvimento pleno. Nos últimos tempos, muito pela ação política, temos invertido a abordagem ao tema da gestão do território e colocado, com isso, uma parte substancial do País, a que chamamos «interior» — e que o é, de facto —, pela discrepância de níveis de competitividade, no centro das políticas. A criação do Ministério da Coesão e, na sua dependência, da Secretaria de Estado da Valorização do Interior tem permitido, desde o início da Legislatura, concertar ações e promover projetos de desenvolvimento integrado em todo o território, como há muito não se sentia, não se via e não se fazia.",Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,6.0,Ana Paula Vitorino,PS,Muito bem!,Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,7.0,Luís Moreira Testa,PS,"Mas também não é de somenos importância que se tenha construído uma agenda que coloca, por sistema, o combate aos desequilíbrios estruturais do País como o tema de ação — não só porque isso beneficia apenas os territórios do interior, o que já não seria pouco, mas porque o desenvolvimento harmonioso contribui decisivamente para o desenvolvimento global de Portugal, porque aproveita recursos, aproveita capacidades, aproveita conhecimento. Nos últimos tempos, nos últimos meses e nas últimas semanas, temos percebido, finalmente, a relevância da centralidade de tal mudança de paradigma. Decorreu esta semana, em Lisboa, o Fórum Parlamentar Luso-Espanhol, que, sem prejuízo de outras temáticas, e mesmo com prejuízo de algumas, as relações transfronteiriças assumiram um papel na relação entre os dois Estados, com a dimensão extraordinária que é dada a territórios, como, por exemplo, o do concelho de Nisa, que, com a assunção da realização da ponte internacional que ligará ao município espanhol de Cedillo, a pouco mais de 100 m, dispensará uma viagem de mais de 100 km. Refiro também a apresentação do documento Visão Estratégica para o Plano de Recuperação Económica de Portugal 2020/2030, elaborado pelo Prof. António Costa Silva, que assenta a maior parte dessa recuperação no aproveitamento pleno dos nossos recursos, o que significa mobilizar os que nunca foram utilizados ou foram parcamente tidos em conta, desde logo os do interior do País. A cimeira ibérica que ocorrerá no dia 2 de outubro na Guarda, com as mesmas temáticas do Fórum Parlamentar, dará ainda uma expressão maior a esta necessidade, com os dois Governos, o de Portugal e o de Espanha, a concertarem políticas e investimentos para os territórios transfronteiriços que têm as mesmas carências e são, eles próprios, uma grande oportunidade para os dois países.",Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,8.0,Santinho Pacheco,PS,Muito bem!,Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,9.0,Luís Moreira Testa,PS,"A meio do mês de outubro, o Governo apresentará o Plano de Recuperação e Resiliência, documento que havemos de ter a oportunidade de debater e que, estamos certos, merecerá também consensos, mais do que desejáveis, imperativos, para que Portugal possa ser um País equilibrado, harmonioso e desenvolvido. Aplausos do PS. Estou certo de que este desígnio não é apenas meu ou do meu partido, estou certo de que este é um desígnio nacional e que todos, todos, sem exceção, somos imprescindíveis para o concretizar. O princípio da história já não pode ser alterado, mas podemos mudar o final e reinventar este Portugal. Aplausos do PS.",Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,10.0,Presidente,,"Sr. Deputado, inscreveram-se, para pedir esclarecimentos, seis Srs. Deputados. Como pretende responder?",Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,11.0,Luís Moreira Testa,PS,"Em grupos de três, Sr. Presidente. ",Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,12.0,Presidente,,"Tem a palavra, então, o Sr. Deputado José Luís Ferreira, de Os Verdes. ",Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,13.0,José Luís Ferreira,PEV,"Sr. Presidente, Sr.as e Srs. Deputados, Sr. Deputado Luís Testa, saúdo-o por ter trazido à discussão um assunto com esta importância, que tem, aliás, merecido a maior atenção por parte de Os Verdes, como sabe. De facto, falar de coesão territorial é falar da necessidade de combater as assimetrias regionais, é falar da necessidade de travar a desertificação do interior do País e o abandono do mundo rural. É, portanto, um assunto que deveria merecer a maior atenção, tanto no plano de recuperação económica, como nas Grandes Opções do Plano, como mesmo no próprio Orçamento do Estado para 2021, porque há, de facto, muita coisa a fazer nesta matéria. É preciso promover incentivos para a criação de postos de trabalho no interior; é preciso reabrir serviços públicos, que o Governo do PSD e CDS fechou por todo o interior do País; é preciso investir na ferrovia e reabrir linhas e ramais, que foram desativados por todo o interior do País; e também é preciso dar vida ao Estatuto da Agricultura Familiar, é preciso fazê-lo sair do papel. Como o Sr. Deputado sabe, o Governo aprovou e fez publicar o Estatuto da Agricultura Familiar, mas até agora pouco ou nada se avançou, para além da sua publicação. Ora, a agricultura familiar pode representar um excelente contributo, não só em termos da soberania alimentar, não só enquanto contributo para a prevenção de incêndios florestais, porque onde há gente há menos incêndios ou, pelo menos, não tendem a ganhar a dimensão a que temos vindo a assistir, mas também enquanto fator ou elemento decisivo para combater a desertificação do interior e o abandono do mundo rural. Portanto, isto é importante quando falamos de coesão territorial. Sr. Deputado, aquilo que lhe pergunto é se concorda com a leitura que Os Verdes têm sobre esta matéria no que diz respeito à necessidade de o Governo fazer sair do papel o Estatuto da Agricultura Familiar como parte integrante deste desígnio, que é o propósito da coesão territorial e do combate à desertificação do interior. Aplausos de Deputados do PCP.",Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,14.0,Presidente,,"Para pedir esclarecimentos, tem a palavra o Sr. Deputado André Ventura, do Chega. ",Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,15.0,André Ventura,CH,"Sr. Presidente, Sr. Deputado Luís Testa, ouvimo-lo, com atenção, falar de descentralização e de coesão, mas não podemos perder a oportunidade de lhe dizer o seguinte: segundo todos os relatórios que temos, desde os da União Europeia até aos das comissões independentes, hoje o País está menos descentralizado do que estava há cinco anos. Segundo todos os relatórios, hoje o País está menos coeso do que estava há cinco anos, em matéria de agricultura, em matéria de emprego, em matéria de saúde e, sobretudo, em matéria de cultura e de desenvolvimento industrial. Vir aqui fazer uma declaração política sobre centralização, descentralização e coesão mais não é do que brincar com os eleitores. Coloco duas perguntas muito concretas. Primeira: o que é que o Partido Socialista vai fazer em termos de descentralização efetiva em matéria cultural e industrial? É que o Primeiro-Ministro falou muito de descentralização cultural e não disse absolutamente nada. Segunda: em que vamos ficar no processo de regionalização? Vão avançar ou não com a regionalização? Precisamos de saber o que é que vão fazer nessa matéria. E agora não menos importante do que estas duas perguntas que lhe coloquei: o Partido Socialista vai, finalmente, fazer um pacto com as autarquias locais para a descentralização ou vai esperar pelas eleições autárquicas para colocar os seus novamente no mesmo lugar e, depois, descentralizar com quem quer, como pode e da mesma maneira de sempre, distribuindo pelos amigos, que é o que sabe fazer? I SÉRIE — NÚMERO 1",Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
DAR-001,17 DE SETEMBRO DE 2020,16.0,Presidente,,"Para formular pedidos de esclarecimento, tem a palavra o Sr. Deputado João Dias. ",Declarações políticas,17 DE SETEMBRO DE 2020Declarações políticas
