,TYPE,NUMBER,SESSION,AUTHORSHIP,TITLE,URL
0,Apreciação Parlamentar,44/XIV,2,BE,"
Decreto-Lei n.º 14/2021, de 12 de fevereiro, que altera o Regime Jurídico de entrada, permanência, saída e afastamento de estrangeiros do território nacional",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=110458
1,Apreciação Parlamentar,43/XIV,2,BE,"
Decreto-Lei n.º 10-A/2021, de 2 de fevereiro, que ""estabelece mecanismos excecionais de gestão de profissionais de saúde para realização de atividade assistencial, no âmbito da pandemia da doença Covid-19",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45744
2,Apreciação Parlamentar,42/XIV,2,BE,"
Decreto-Lei n.º 6-E/2021, de 15 de janeiro, estabelece mecanismos de apoio no âmbito do estado de emergência",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45732
3,Apreciação Parlamentar,41/XIV,2,PCP,"
Decreto-Lei n.º 8-B/2021, de 22 de janeiro (Estabelece um conjunto de medidas de apoio no âmbito da suspensão das atividades letivas e não letivas presenciais)",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45722
4,Apreciação Parlamentar,40/XIV,2,PCP,"
Decreto-Lei n.º 6-E/2021, de 15 de janeiro, que ""Estabelece mecanismos de apoio no âmbito do estado de emergência""",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45721
5,Apreciação Parlamentar,39/XIV,2,BE,"
Decreto-Lei nº 8-B/2021, de 22 de janeiro, “Estabelece um conjunto de medidas de apoio no âmbito da suspensão das atividades letivas e não letivas presenciais”",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45697
6,Apreciação Parlamentar,38/XIV,2,BE,"
Decreto-Lei n.º 102-D/2020, de 10 de dezembro - «Aprova o regime geral da gestão de resíduos, o regime jurídico da deposição de resíduos em aterro e altera o regime da gestão de fluxos específicos de resíduos, transpondo as Diretivas (UE) 2018/849, 2018/850, 2018/851 e 2018/852»",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45588
7,Apreciação Parlamentar,37/XIV,2,PCP,"
Decreto-Lei n.º 102-D/2020, de 10 de dezembro - «Aprova o regime geral da gestão de resíduos, o regime jurídico da deposição de resíduos em aterro e altera o regime da gestão de fluxos específicos de resíduos, transpondo as Diretivas (UE) 2018/849, 2018/850, 2018/851 e 2018/852»",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45575
8,Apreciação Parlamentar,36/XIV,2,PSD,"
Decreto-lei n.º 102-D/2020, de 10 de dezembro, que aprova o regime geral da gestão de resíduos, o regime jurídico da deposição de resíduos em aterro e altera o regime da gestão de fluxos específicos de resíduos, transpondo as diretivas (UE) 2018/849, 2018/850, 2018/851 e 2018/852",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45548
9,Apreciação Parlamentar,35/XIV,2,BE,"
Decreto-Lei nº 92/2020, de 23 de outubro, ""Altera o regime geral de gestão de resíduos""",/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=45467
