author,description,title,url
Luís Marques Mendes (PSD),Sobre a Agenda 2000,Projeto de Resolução 123/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4519
"Luís Queiró (CDS-PP),Gonçalo Ribeiro da Costa (CDS-PP),Augusto Boucinha (CDS-PP),Nuno Correia da Silva (CDS-PP),Rui Pedrosa de Moura (CDS-PP)",Conselhos municipais de acção social,Projeto de Lei 637/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4492
"Pimenta Dias (PCP),Joaquim Matias (PCP),João Amaral (PCP),Octávio Teixeira (PCP),Luísa Mesquita (PCP)",Isenta de emolumentos a apreciação das contas de gerência das autarquias locais,Projeto de Lei 624/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4508
"Luís Queiró (CDS-PP),Sílvio Rui Cervan (CDS-PP),António Brochado Pedras (CDS-PP),Rui Marques (CDS-PP),Rui Pedrosa de Moura (CDS-PP),Maria José Nogueira Pinto (CDS-PP),Moura e Silva (CDS-PP)","Pronuncia, acompanhamento e apreciação pela Assembleia da República da participação de Portugal no processo de construção da união europeia",Projeto de Lei 625/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4507
Luís Queiró (CDS-PP),"Decreto-lei n° 15/99,de 15 de Janeiro, que""regula a intervenção do Estado nas actividades cinematográficas do audiovisual e do multimédia"".",Apreciação Parlamentar 82/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4518
Lino de Carvalho (PCP),Define princípios de referência para negociação pela parte portuguesa da Agenda 2000 e documentos conexos,Projeto de Resolução 122/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4520
"João Amaral (PCP),Octávio Teixeira (PCP),António Filipe (PCP),Pimenta Dias (PCP),Bernardino Soares (PCP),Alexandrino Saldanha (PCP)","Altera o regime de instalação de novos municípios previsto na lei n° 142/85, de 18 de Novembro, para a situação de não ocorrência de eleições em prazo curto",Projeto de Lei 622/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4521
"Cabrita Neto (PSD),António Capucho (PSD)",Elevação à categoria de vila da povoação de Santa Luzia no município de Tavira,Projeto de Lei 621/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4522
Jorge Valente (PS),Elevação da povoação de Alcantarilha no concelho de Silves à categoria de vila,Projeto de Lei 617/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4526
"Isabel Castro (PEV),Carmen Francisco (PEV)",Criação da rede publica de casas de apoio a mulheres vitimas de violência,Projeto de Lei 620/VII,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=4523
